Faculty,YearLevel,ExerciseGroup,StudyHours,SleepHours,StressScore,ExamScore
Business,1st Year,Moderate,19.53,5.84,25.6,76.2
Engineering,4th Year,High,12.52,6.33,40.3,58.9
Arts,1st Year,Low,27.78,6.2,37.0,69.8
Arts,4th Year,Low,24.58,8.0,25.0,69.6
Science,4th Year,Low,11.03,6.27,44.5,47.6
Science,3rd Year,Low,17.97,5.15,52.1,70.5
Science,3rd Year,High,15.77,7.28,24.5,64.3
Engineering,2nd Year,Moderate,21.06,6.75,31.6,68.8
Arts,3rd Year,Moderate,8.28,4.57,31.0,57.8
Arts,2nd Year,Low,16.03,6.45,29.7,62.0
Science,2nd Year,Moderate,18.6,6.79,35.6,59.8
Engineering,2nd Year,Moderate,6.03,7.63,34.6,45.5
Engineering,2nd Year,Low,7.59,8.16,16.9,53.5
Science,2nd Year,Moderate,5.39,8.01,8.4,53.7
Science,1st Year,Moderate,10.94,6.76,9.5,65.4
Science,3rd Year,Moderate,16.23,6.0,27.7,61.5
Business,2nd Year,Moderate,22.22,9.0,25.7,74.1
Business,4th Year,Low,12.55,6.55,46.0,50.7
Business,3rd Year,Moderate,23.37,7.01,31.9,69.0
Science,3rd Year,Moderate,7.01,6.98,24.2,37.2
Arts,2nd Year,Moderate,6.16,7.18,15.9,59.0
Science,1st Year,High,11.91,7.37,29.1,58.0
Science,2nd Year,Moderate,14.21,6.48,47.5,59.8
Business,1st Year,Low,12.02,6.01,18.6,38.6
Business,4th Year,Low,5.33,6.47,21.5,64.6
Engineering,3rd Year,Moderate,11.76,6.51,38.4,51.6
Science,4th Year,Low,7.23,5.86,35.4,55.8
Business,1st Year,Moderate,15.92,7.1,37.8,50.5
Arts,1st Year,High,14.11,7.27,24.6,63.9
Science,4th Year,Moderate,8.36,8.35,20.6,46.5
Arts,1st Year,Moderate,9.92,4.61,28.8,48.9
Science,4th Year,Moderate,7.98,7.98,33.1,63.0
Science,3rd Year,Moderate,11.88,8.12,29.9,54.0
Engineering,4th Year,Moderate,17.85,5.13,47.7,58.6
Engineering,3rd Year,High,8.21,7.19,33.4,55.9
Engineering,4th Year,Moderate,14.9,6.67,45.8,57.6
Business,1st Year,High,9.85,6.23,31.2,53.5
Science,4th Year,High,8.87,6.8,33.8,53.1
